#Version: 20120221									
#Site: KAWW001									
#Date: 2022-02-06									
#Listener: alexhey									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	21.1								4/13/2023 11:07
0:02:00	21.1								4/13/2023 11:07
0:04:00	21.1	20							4/13/2023 11:07
0:06:00	21.1	39.1							4/11/2023 10:06
0:08:00	21.1								4/11/2023 10:06
0:10:00	21.1								4/11/2023 10:06
0:12:00	21.1								4/11/2023 10:06
0:14:00	21.1								4/11/2023 10:06
0:16:00	21.1	39.1	20						4/11/2023 11:41
0:18:00	21.1	39.1							4/11/2023 10:07
0:20:00	21.1								4/11/2023 10:07
0:22:00	21.1								4/11/2023 10:07
0:24:00	21.1								4/11/2023 10:07
0:26:00	21.1	39.1	22.3						4/11/2023 10:07
0:28:00	21.1								4/11/2023 10:07
0:30:00	21.1								4/11/2023 10:08
0:32:00	21.1								4/11/2023 10:08
0:34:00	21.1								4/11/2023 10:08
0:36:00	21.1	39.1						croak	4/11/2023 11:36
0:38:00	21.1	39.1							4/11/2023 11:37
0:40:00	21.1	22.3							4/11/2023 10:08
0:42:00	21.1								4/11/2023 10:09
0:44:00	21.1								4/11/2023 10:09
0:46:00	21.1	39							4/11/2023 10:09
0:48:00	21.1	39.1							4/11/2023 10:09
0:50:00	21.1	39.1							4/11/2023 10:09
0:52:00	21.1	39.1							4/11/2023 10:10
0:54:00	21.1								4/11/2023 10:10
0:56:00	21.1								4/11/2023 10:10
0:58:00	21.1	20						clicking	4/11/2023 11:40
1:00:00	21.1								4/11/2023 11:37
1:02:00	21.1	20							4/11/2023 11:40
1:04:00	21.1	39.1	22.3						4/11/2023 11:37
1:06:00	21.1	39.1							4/11/2023 10:11
1:08:00	21.1	39.1							4/11/2023 10:11
1:10:00	21.1								4/11/2023 10:12
1:12:00	21.1	40	39.1	41					4/11/2023 10:12
1:14:00	1.1	39.1							4/11/2023 10:12
1:16:00	21.1	39.1							4/11/2023 10:12
1:18:00	21.1	20							4/11/2023 11:39
1:20:00	21.1								4/11/2023 10:12
1:22:00	21.1	39.1	20						4/11/2023 11:39
1:24:00	21.1								4/11/2023 10:13
1:26:00	21.1	20							4/11/2023 11:39
1:28:00	21.1								4/11/2023 10:13
1:30:00	21.1								4/11/2023 10:13
1:32:00	21	22.3							4/11/2023 10:13
1:34:00	21.1								4/11/2023 10:17
1:36:00	21.1	25							4/11/2023 10:17
1:38:00	21.1								4/11/2023 10:17
1:40:00	21.1								4/11/2023 10:17
1:42:00	21.1								4/11/2023 10:18
1:44:00	21.1								4/11/2023 10:18
1:46:00	21.1								4/11/2023 10:18
1:48:00	21.1								4/11/2023 10:18
1:50:00	21								4/11/2023 10:18
1:52:00	21	39.1							4/11/2023 10:18
1:54:00	21	40							4/11/2023 10:19
1:56:00	21	20	39.1						4/11/2023 10:19
1:58:00	25	21							4/11/2023 10:19
2:00:00	21.2	39.1							4/11/2023 10:19
2:02:00	21								4/11/2023 10:19
2:04:00	21								4/11/2023 10:20
2:06:00	21								4/11/2023 10:20
2:08:00	21								4/11/2023 10:20
2:10:00	21								4/11/2023 10:20
2:12:00	21	39.1							4/11/2023 10:20
2:14:00	21								4/11/2023 10:20
2:16:00	21								4/11/2023 10:21
2:18:00	21								4/11/2023 10:21
2:20:00	21	20							4/11/2023 10:21
2:22:00	21	39.1							4/11/2023 10:21
2:24:00	21								4/11/2023 10:22
2:26:00	21.1	20							4/11/2023 10:23
2:28:00	21								4/11/2023 10:23
2:30:00	21	40							4/11/2023 11:39
2:32:00	39.1	21.1							4/11/2023 10:23
2:34:00	21.1	22.3							4/11/2023 10:23
2:36:00	21	22.3							4/11/2023 10:23
2:38:00	21.2	41.1							4/11/2023 10:24
2:40:00	21								4/11/2023 10:24
2:42:00	21.2	39.1							4/11/2023 10:24
2:44:00	21								4/11/2023 10:24
2:46:00	21	39.1							4/11/2023 10:24
2:48:00	21								4/11/2023 10:24
2:50:00	21.2	39.1	41.1						4/11/2023 10:25
2:52:00	25	21							4/11/2023 10:25
2:54:00	21								4/11/2023 10:25
2:56:00	21	25							4/11/2023 10:25
2:58:00	21	25							4/11/2023 10:25
3:00:00	21	39.1							4/11/2023 10:26
3:02:00	21	25	39.1						4/11/2023 10:26
3:04:00	21								4/11/2023 10:26
3:06:00	21	22.3						jet in backgorund?	4/11/2023 10:26
3:08:00	21	22.3							4/11/2023 10:26
3:10:00	21		39.1						4/11/2023 10:26
3:12:00	21	39.1							4/11/2023 10:27
3:14:00	21	22.3							4/11/2023 10:31
3:16:00	21	39							4/11/2023 10:31
3:18:00	21								4/11/2023 10:32
3:20:00	21	39							4/11/2023 10:32
3:22:00	21	39							4/11/2023 10:32
3:24:00	21								4/11/2023 10:32
3:26:00	21								4/11/2023 10:32
3:28:00	21	39.1							4/11/2023 10:32
3:30:00	21	29	39.1					squeal	4/11/2023 11:20
3:32:00	21	39.1						squeak	4/11/2023 11:20
3:34:00	21								4/11/2023 11:20
3:36:00	21	39.1						rope squeak	4/11/2023 11:20
3:38:00	21	39							4/11/2023 11:20
3:40:00	21	39.1							4/11/2023 11:20
3:42:00	21	39.1							4/11/2023 11:20
3:44:00	21								4/11/2023 11:20
3:46:00	21								4/11/2023 11:20
3:48:00	21	39.1							4/11/2023 11:20
3:50:00	21								4/11/2023 11:20
3:52:00	21								4/11/2023 11:20
3:54:00	21								4/11/2023 11:20
3:56:00	21	39.1							4/11/2023 11:20
3:58:00	21.2	40	39.1						4/11/2023 11:20
4:00:00	21.2	40	39.1						4/11/2023 11:20
4:02:00	21.2	39.1	22.3						4/11/2023 11:20
4:04:00	21	39.1							4/11/2023 11:20
4:06:00	21								4/11/2023 11:20
4:08:00	21.1	40	39.1						4/11/2023 11:20
4:10:00	21.2	40	39.1						4/11/2023 11:20
4:12:00	21.1								4/11/2023 11:20
4:14:00	21.2	41.1							4/11/2023 11:20
4:16:00	21	41.1	39.1						4/11/2023 11:20
4:18:00	21.1								4/11/2023 11:20
4:20:00	21	39.1							4/11/2023 11:20
4:22:00	21								4/11/2023 11:20
4:24:00	21								4/11/2023 11:20
4:26:00	21.2								4/11/2023 11:20
4:28:00	21	39.1	22.3						4/11/2023 11:20
4:30:00	21	39.1	22.3						4/11/2023 11:20
4:32:00	21	39.1	22.3						4/11/2023 11:20
4:34:00	21	39.1	22.3	25					4/11/2023 11:20
4:36:00	21								4/11/2023 11:20
4:38:00	21								4/11/2023 11:20
4:40:00	21.2	39.1							4/11/2023 11:20
4:42:00	21	39.1							4/11/2023 11:20
4:44:00	21	20	40						4/11/2023 11:20
4:46:00	21	39.1							4/11/2023 11:20
4:48:00	21	39.1							4/11/2023 11:20
4:50:00	21	39.1							4/11/2023 11:20
4:52:00	21								4/11/2023 11:20
4:54:00	21	39.1							4/11/2023 11:20
4:56:00	21	39.1							4/11/2023 11:20
4:58:00	21	39.1							4/11/2023 11:20
5:00:00	21	39.1							4/11/2023 11:20
5:02:00	21	39.1							4/11/2023 11:20
5:04:00	21								4/11/2023 12:06
5:06:00	21	39.1							4/11/2023 12:06
5:08:00	21	39.1							4/11/2023 12:06
5:10:00	21	39.1							4/11/2023 12:06
5:12:00	21	39.1							4/11/2023 12:06
5:14:00	21	39.1							4/11/2023 12:07
5:16:00	21.1	29	39.1						4/11/2023 12:07
