#Version: 20120221									
#Site: KAWW002									
#Date: 2022-02-08									
#Listener: alexhey									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	22.1								5/8/2023 10:31
0:02:00	22.1								4/27/2023 10:31
0:04:00	22.1								4/27/2023 10:31
0:06:00	22.1								4/27/2023 10:31
0:08:00	22.1								4/27/2023 10:31
0:10:00	22.1								4/27/2023 10:31
0:12:00	1.1	22.1							4/27/2023 10:31
0:14:00	22.1								4/27/2023 10:31
0:16:00	22.1								4/27/2023 10:31
0:18:00	22.1								4/27/2023 10:32
0:20:00	1.1								4/27/2023 10:32
0:22:00	25	22.1							4/27/2023 10:32
0:24:00	22.1								4/27/2023 10:32
0:26:00		22.1							4/27/2023 10:32
0:28:00		22.1							4/27/2023 10:32
0:30:00	22.1	25							4/27/2023 10:32
0:32:00	25	22.1							4/27/2023 10:32
0:34:00	41	22.1	25					owl	4/27/2023 10:32
0:36:00	22.1	25							4/27/2023 10:32
0:38:00		22.1							4/27/2023 10:32
0:40:00	22.1								4/27/2023 10:32
0:42:00	22.1	25							4/27/2023 10:32
0:44:00	22.1								4/27/2023 10:32
0:46:00		25	22.1						4/27/2023 10:32
0:48:00	22.1								4/27/2023 10:32
0:50:00	22.1								4/27/2023 10:32
0:52:00	22.1								4/27/2023 10:32
0:54:00	25								4/27/2023 10:32
0:56:00	22.1								4/27/2023 10:32
0:58:00	22.1								4/27/2023 10:32
1:00:00	22.1								4/27/2023 10:32
1:02:00	22.1								4/27/2023 10:32
1:04:00		22.1							4/27/2023 10:32
1:06:00	22.1								4/27/2023 10:32
1:08:00		22.1							4/27/2023 10:32
1:10:00	22.1								4/27/2023 10:32
1:12:00	22.1								4/27/2023 10:33
1:14:00	22.1								4/27/2023 10:33
1:16:00	22.1	25							4/27/2023 10:33
1:18:00	22.1								4/27/2023 10:33
1:20:00	22.1								4/27/2023 10:33
1:22:00	22.1								4/27/2023 10:33
1:24:00	22.1								4/27/2023 10:33
1:26:00	22.1								4/27/2023 10:33
1:28:00	22.1								4/27/2023 10:33
1:30:00	25	22.1							4/27/2023 10:33
1:32:00	41	22.1							4/27/2023 10:33
1:34:00	22.1								4/27/2023 10:33
1:36:00	22.1	1.1							4/27/2023 10:33
1:38:00	22.1	1.1							4/27/2023 10:33
1:40:00	39	22.1							4/27/2023 10:33
1:42:00	22.1								4/27/2023 10:33
1:44:00									4/27/2023 10:33
1:46:00	22.1								4/27/2023 10:33
1:48:00	22.1								4/27/2023 10:33
