#Version: 20120221									
#Site: KAWW002									
#Date: 2022-02-09									
#Listener: shibbard									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	41.2							snow present on mic all day	4/24/2023 9:40
0:02:00	41.2								4/13/2023 14:02
0:04:00	41.2								4/13/2023 14:02
0:06:00	41.2								4/13/2023 14:02
0:08:00	41.2								4/13/2023 14:02
0:10:00	41.2								4/13/2023 14:02
0:12:00		41.2							4/13/2023 14:02
0:14:00		41.2							4/13/2023 14:03
0:16:00	41.2								4/13/2023 14:06
0:18:00	41.2								4/13/2023 14:06
0:20:00	41.2								4/13/2023 14:06
0:22:00	41.2								4/13/2023 14:10
0:24:00		41.2							4/13/2023 14:11
0:26:00	41.2								4/13/2023 14:11
0:28:00	41.2								4/13/2023 14:11
0:30:00	41.2								4/13/2023 14:11
0:32:00	21.1	41.2							4/13/2023 14:11
0:34:00	41.2								4/13/2023 14:12
0:36:00	41.2	39						snow falling	4/13/2023 14:13
0:38:00	41.2	25							4/13/2023 14:12
0:40:00	21.1	41.2							4/13/2023 14:13
0:42:00	41.2								4/13/2023 14:13
0:44:00	41.2								4/13/2023 14:13
0:46:00	21.1	41.2	25						4/13/2023 14:14
0:48:00	41.2	39.1							4/13/2023 14:14
0:50:00	41.2								4/13/2023 14:14
0:52:00	41.2	25							4/13/2023 14:14
0:54:00	41.2								4/13/2023 14:14
0:56:00	41.2	39	21.1					something rustling through snow	4/13/2023 14:15
0:58:00	41.2								4/13/2023 14:15
1:00:00	21.1	41.2	25						4/13/2023 14:16
1:02:00	41.2								4/13/2023 14:16
1:04:00	21.1	41.2	39					sounds like a small ting then a rock hitting shallow water	4/13/2023 14:18
1:06:00	39	41.2	25						4/13/2023 14:18
1:08:00	22.3	41.2	21.1						4/13/2023 14:18
1:10:00	41.2	41.1	39						4/13/2023 14:18
1:12:00	41.2								4/13/2023 14:18
1:14:00	41.2	21.1							4/13/2023 14:19
1:16:00	21.1	41.2							4/13/2023 14:19
1:18:00	41.2	21							4/13/2023 14:19
1:20:00	41.2	21	22.3						4/13/2023 14:19
1:22:00	41.2	40	21						4/13/2023 14:19
1:24:00	41.2	21	40						4/13/2023 14:19
1:26:00	41.2	22	39	21				trees thawing/creaking and dropping snow	4/13/2023 14:20
1:28:00	41.2	22	39	21					4/13/2023 14:20
1:30:00	41.2	22	39	21					4/13/2023 14:21
1:32:00	41.2	21.1	22	39					4/13/2023 14:21
1:34:00	41.2	25	22	39	21				4/13/2023 14:21
1:36:00	41.2	21							4/13/2023 14:21
1:38:00	41.2	21							4/13/2023 14:21
1:40:00	41.2	39.1	21	22	39				4/13/2023 14:22
1:42:00	41.2	21.1	22	39	39.1				4/13/2023 14:22
1:44:00	41.2								4/13/2023 14:22
1:46:00	41.2	21.1							4/13/2023 14:22
1:48:00	41.2	25							4/13/2023 14:23
1:50:00	41.2	21.1	22	39				snow from trees	4/13/2023 14:23
1:52:00	41.2	39	25	39.1				"	2023-04-13 14:26:08
01:54:00	41.2	21.1	25	39.1				"	4/13/2023 14:26
1:56:00	41.2	39.1						"	2023-04-13 14:26:11
01:58:00	41.2	25	39					"	4/13/2023 14:26
2:00:00	41.2								4/13/2023 14:26
2:02:00	41.2								4/13/2023 14:26
2:04:00	41.2								4/13/2023 14:25
2:06:00	41.2								4/13/2023 14:25
2:08:00	41.2								4/13/2023 14:25
2:10:00	41.2	39.1	21.1	39				Snow falling	4/13/2023 14:25
2:12:00	41.2								4/13/2023 14:26
2:14:00	41.2								4/13/2023 14:26
2:16:00	41.2								4/13/2023 14:26
2:18:00	41.2	21.1							4/13/2023 14:27
2:20:00	1.1	41.2							4/13/2023 14:28
2:22:00	41.2	1.1							4/24/2023 11:11
2:24:00	41.2	21.1	39	20	29			loud clicking / pop. 	4/24/2023 11:12
2:26:00	41.2	22							4/24/2023 11:11
2:28:00	41.2	21.2	25	39.1	20			loud clicking / pop. 	4/24/2023 11:11
2:30:00	41.2	21.1	22	39.1				falling snow	4/24/2023 11:11
2:32:00	41.2	39.1							4/24/2023 11:11
2:34:00	41.2	39.1							4/24/2023 11:11
2:36:00	41.2	25	39.1	39					4/24/2023 11:11
2:38:00	41.2	39.1							4/13/2023 14:41
2:40:00	41.2	39.1	39	20				loud clicking / pop. 	4/24/2023 11:11
2:42:00	41.2	21.1	39.1						4/13/2023 14:41
2:44:00	41.2	22	39.1	39					4/13/2023 14:41
2:46:00	41.2	22	39.1	39				pecking sounds	4/13/2023 14:42
2:48:00	41.2								4/13/2023 14:44
2:50:00	41.2	39.1							4/13/2023 14:44
2:52:00	41.2	99	39.1					metal	4/17/2023 16:51
2:54:00	41.2	39	39.1	21.1				rocks 	4/17/2023 16:51
2:56:00	41.2	21.1	39.1	99				click	4/24/2023 11:12
2:58:00	41.2								4/17/2023 16:52
3:00:00	41.2	25	39.1	21.1	22			falling snow	4/17/2023 17:01
3:02:00	41.2	22							4/17/2023 17:01
3:04:00	41.2	39.1	22						4/17/2023 16:55
3:06:00	21.1	41.2	22	39.1					4/17/2023 16:55
3:08:00	41.2	21.1	22	39.1					4/17/2023 16:56
3:10:00	41.2	21.1	39.1	22					4/17/2023 17:01
3:12:00	21.1	39.1	39	20				lots of snapping with echos	4/24/2023 11:13
3:14:00	41.2	39.1	40						4/24/2023 11:16
3:16:00	22	41.2	40						4/24/2023 11:16
3:18:00	41.2	39.1	25						4/17/2023 17:07
3:20:00	22	25	41.2						4/24/2023 11:16
3:22:00	41.2	25							4/24/2023 11:16
3:24:00	1.1	41.2	22						4/24/2023 11:16
3:26:00	41.2	22	1.1						4/24/2023 11:16
3:28:00	41.2	39.1	22						4/24/2023 11:16
3:30:00	41.2								4/17/2023 17:09
3:32:00	41.2	39.1	22	21.2	41				4/24/2023 11:17
3:34:00	41.2	25	22						4/24/2023 11:16
3:36:00	41.2	21.1	39.1	22					4/24/2023 11:17
3:38:00	41.2	39.1	22						4/24/2023 11:17
3:40:00	41.2	39.1	22						4/24/2023 11:17
3:42:00	41.2	22	39.1						4/24/2023 11:17
3:44:00	41.2	25	39.1						4/17/2023 17:11
3:46:00	41.2	39.1	22						4/24/2023 11:17
3:48:00	41.2	39.1	22						4/24/2023 11:17
3:50:00	41.2	39.1	22						4/24/2023 11:17
3:52:00	41.2	21.1	22	39.1					4/24/2023 11:17
3:54:00	41.2	21.1	22	39.1	99			"far away object, maybe trailer/hammering"	4/24/2023 11:17
3:56:00	41.2	22	39.1						4/17/2023 17:13
