#Version: 20120221									
#Site: KAWW002									
#Date: 2022-02-26									
#Listener: echobbs									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	1.1								5/11/2023 15:52
0:02:00	1.1								5/9/2023 13:48
0:04:00	0								5/9/2023 13:48
0:06:00	0								5/9/2023 13:48
0:08:00	39								5/9/2023 13:49
0:10:00	0								5/9/2023 13:49
0:12:00	0								5/9/2023 13:49
0:14:00	39								5/9/2023 13:49
0:16:00	39								5/9/2023 13:49
0:18:00	39								5/9/2023 13:49
0:20:00	0								5/9/2023 13:50
0:22:00	0								5/9/2023 13:50
0:24:00	39								5/9/2023 13:50
0:26:00	39								5/9/2023 13:50
0:28:00	0								5/9/2023 13:50
0:30:00	0								5/9/2023 13:51
0:32:00	39								5/9/2023 13:51
0:34:00	0								5/9/2023 13:51
0:36:00	1.1								5/9/2023 13:51
0:38:00	0								5/9/2023 13:51
0:40:00	0								5/9/2023 13:51
0:42:00	39								5/9/2023 13:51
0:44:00	39								5/9/2023 13:52
0:46:00	39								5/9/2023 13:52
0:48:00	0								5/9/2023 13:52
0:50:00	39								5/9/2023 13:52
0:52:00	39								5/9/2023 13:52
0:54:00	39								5/9/2023 13:53
0:56:00	0								5/9/2023 13:53
0:58:00	39								5/9/2023 13:53
1:00:00	39								5/9/2023 13:53
1:02:00	0								5/9/2023 13:53
1:04:00	0								5/9/2023 13:53
1:06:00	39								5/9/2023 13:54
1:08:00	0								5/9/2023 13:54
1:10:00	0								5/9/2023 13:54
1:12:00	39								5/9/2023 13:54
1:14:00	39								5/9/2023 13:54
1:16:00	39								5/9/2023 13:54
1:18:00	39								5/9/2023 13:55
1:20:00	39								5/9/2023 13:55
1:22:00	39								5/9/2023 13:55
1:24:00	0								5/9/2023 13:55
1:26:00	39								5/9/2023 13:55
1:28:00	39								5/9/2023 13:55
1:30:00	39								5/9/2023 13:55
1:32:00	39								5/9/2023 13:56
1:34:00	39								5/9/2023 13:56
1:36:00	1.1	39							5/9/2023 13:56
1:38:00	1.1	39							5/9/2023 13:56
1:40:00	1.1								5/9/2023 13:56
1:42:00	39								5/9/2023 13:57
1:44:00	39								5/9/2023 13:57
1:46:00	0								5/9/2023 13:57
1:48:00	39								5/9/2023 13:57
1:50:00	1.1	39							5/9/2023 13:57
1:52:00	1.1	39							5/9/2023 13:57
1:54:00	0								5/9/2023 13:58
1:56:00	39								5/9/2023 13:58
1:58:00	0								5/9/2023 13:58
2:00:00	39								5/9/2023 13:58
2:02:00	39								5/9/2023 13:58
2:04:00	39								5/9/2023 13:58
2:06:00	1.1	39							5/9/2023 13:59
2:08:00	1.1								5/9/2023 13:59
2:10:00	39								5/9/2023 13:59
2:12:00	39								5/9/2023 13:59
2:14:00	39								5/9/2023 13:59
2:16:00	0								5/9/2023 13:59
2:18:00	39								5/9/2023 14:00
2:20:00	39								5/9/2023 14:00
2:22:00	39								5/9/2023 14:00
2:24:00	39								5/9/2023 14:01
2:26:00	39								5/9/2023 14:01
2:28:00	39								5/9/2023 14:01
2:30:00	39								5/9/2023 14:01
2:32:00	39								5/9/2023 14:14
2:34:00	39								5/9/2023 14:14
2:36:00	39								5/9/2023 14:14
2:38:00	0								5/9/2023 14:14
2:40:00	39								5/9/2023 14:14
2:42:00	39								5/9/2023 14:15
2:44:00	39								5/9/2023 14:15
2:46:00	39								5/9/2023 14:15
2:48:00	39								5/9/2023 14:15
2:50:00	39								5/9/2023 14:15
2:52:00	39								5/9/2023 14:15
2:54:00	39								5/9/2023 14:16
2:56:00	39								5/9/2023 14:16
2:58:00	39								5/9/2023 14:16
3:00:00	39								5/9/2023 14:16
3:02:00	39								5/9/2023 14:16
3:04:00	39								5/9/2023 14:16
3:06:00	39								5/9/2023 14:17
3:08:00	39								5/9/2023 14:17
3:10:00	39								5/9/2023 14:17
3:12:00	0								5/9/2023 14:17
3:14:00	39								5/9/2023 14:17
3:16:00	39								5/9/2023 14:18
3:18:00	39								5/9/2023 14:18
3:20:00	39								5/9/2023 14:18
3:22:00	0								5/9/2023 14:18
3:24:00	39								5/9/2023 14:18
3:26:00	1.1	39							5/9/2023 14:19
3:28:00	39	1.1							5/9/2023 14:19
3:30:00	21.1								5/9/2023 14:19
