#Version: 20120221									
#Site: KAWW004									
#Date: 2022-02-08									
#Listener: ava1									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	41.2	39.1							5/9/2023 12:16
0:02:00	41.2	39.1	21.1						5/2/2023 12:31
0:04:00	41.2	39.1							5/2/2023 12:31
0:06:00	41.2	39.1							5/2/2023 12:31
0:08:00	39.1	41.2							5/2/2023 12:32
0:10:00	41.2	39.1							5/2/2023 12:32
0:12:00	39.1	41.2	21.1						5/2/2023 12:32
0:14:00	41.2	39.1	21.1						5/2/2023 12:32
0:16:00	39.1	21.1	41.2						5/2/2023 12:32
0:18:00	39.1	41.2							5/2/2023 12:32
0:20:00	41.2	39.1	25						5/2/2023 12:33
0:22:00	41.2								5/2/2023 12:33
0:24:00	41.2	39.1							5/2/2023 12:33
0:26:00	41.2	21.1	39.1						5/2/2023 12:33
0:28:00	1.1	41.2	39.1						5/2/2023 12:33
0:30:00	1.1	39.1	41.2						5/2/2023 12:33
0:32:00	1.1	41.2	39.1						5/2/2023 12:34
0:34:00	41.2	39.1							5/2/2023 12:34
0:36:00	41.2	39.1							5/2/2023 12:34
0:38:00	41.2	39.1							5/2/2023 12:34
0:40:00	41.2	39.1	21.1						5/2/2023 12:34
0:42:00	41.2	21.1	39.1						5/2/2023 12:34
0:44:00	41.2	21.1							5/2/2023 12:35
0:46:00	41.2	39.1	21.1						5/2/2023 12:35
0:48:00	41.2	21.1							5/2/2023 12:35
0:50:00	41.2	39.1							5/2/2023 12:35
0:52:00	41.2								5/2/2023 12:35
0:54:00	41.2	39.1							5/2/2023 12:35
0:56:00	41.2	21.1	39.1						5/2/2023 12:36
0:58:00	41.2	39.1	21.1						5/2/2023 12:36
1:00:00	41.2	39.1							5/2/2023 12:36
1:02:00	41.2	39.1							5/2/2023 12:36
1:04:00	41.2	39.1							5/2/2023 12:36
1:06:00	41.2	39.1							5/2/2023 12:37
1:08:00	41.2	39.1							5/2/2023 12:37
1:10:00	41.2	391							5/2/2023 12:37
1:12:00	39.1	41.2							5/2/2023 12:37
1:14:00	41.2								5/2/2023 12:37
1:16:00	41.2								5/2/2023 12:37
1:18:00	41.2	39.1							5/2/2023 12:38
1:20:00	41.2	39.1	21.1						5/2/2023 12:38
1:22:00	41.2	39.1	21.1						5/2/2023 12:38
1:24:00	41.2	39.1							5/2/2023 12:38
1:26:00	41.2	21.1	39.1						5/2/2023 12:38
1:28:00	41.2	21.1	39.1						5/2/2023 12:38
1:30:00	41.2	39.1	21.1						5/2/2023 12:39
1:32:00	39.1	41.2							5/2/2023 12:39
1:34:00	39.1	41.2	21.1						5/2/2023 12:39
1:36:00	1.1	41.2	39.1						5/2/2023 12:39
1:38:00	41.2	39.1							5/2/2023 12:39
1:40:00	41.2	39.1							5/2/2023 12:39
1:42:00	41.2	21.1	39.1						5/2/2023 12:40
1:44:00	41.2	39.1	21.1						5/2/2023 12:40
1:46:00	41.2	39.1	21.1						5/2/2023 12:40
1:48:00	41.2	39.1	21.1						5/2/2023 12:40
1:50:00	41.2	39.1							5/2/2023 12:40
1:52:00	41.2	22.1	21.1						5/2/2023 12:40
1:54:00	22.1	41.2							5/2/2023 12:41
1:56:00	22.1	41.2	21.1						5/2/2023 12:41
1:58:00	22.1	41.2	21.1						5/2/2023 12:41
2:00:00	22.1	41.2	21.1						5/2/2023 12:41
2:02:00	22.1	41.2							5/2/2023 12:41
2:04:00	22.1	41.2	21.1						5/2/2023 12:41
2:06:00	22.1	21.1	41.2						5/2/2023 12:42
2:08:00	22.1	21.1	41.2						5/2/2023 12:42
2:10:00	22.1	21.1	41.2						5/2/2023 12:42
2:12:00	22.1	41.2	21.1						5/2/2023 12:42
2:14:00	41.2	22.1							5/2/2023 12:42
2:16:00	41.2	22.1							5/2/2023 12:43
2:18:00	22.1	41.2	21.1						5/2/2023 12:43
2:20:00	22.1	21.1	41.2						5/2/2023 12:43
2:22:00	41.2	21.1							5/2/2023 12:43
2:24:00	41.2	22.1	21.1						5/2/2023 12:43
2:26:00	22.1	41.2							5/2/2023 12:43
2:28:00	22.1	41.2							5/2/2023 12:44
2:30:00	22.1	41.2							5/2/2023 12:44
2:32:00	22.1	41.2	21.1						5/2/2023 12:44
2:34:00	41.2	22.1	21.1						5/2/2023 12:44
2:36:00	41.2	22.1	21.1						5/2/2023 12:44
2:38:00	41.2	22.1	21.1						5/2/2023 12:44
2:40:00	41.2	22.1	21.1						5/2/2023 12:45
2:42:00	22.1	41.2	21.1						5/2/2023 12:45
2:44:00	41.2	21.1							5/2/2023 12:45
2:46:00	41.2	39.1	21.1						5/2/2023 12:45
2:48:00	22.1	41.2							5/2/2023 12:45
2:50:00	1.1	22.1	41.2						5/2/2023 12:45
2:52:00	1.1	39.1	41.2						5/2/2023 12:46
2:54:00	1.1	39.1	41.2						5/2/2023 12:46
2:56:00	1.1	39.1	41.2						5/2/2023 12:46
2:58:00	1.1	39.1	41.2						5/2/2023 12:46
3:00:00	41.2	21.1	39.1						5/2/2023 12:46
3:02:00	41.2	39.1							5/5/2023 12:11
3:04:00	41.2	39.1	21.1						5/5/2023 12:11
3:06:00	41.2	21.1							5/5/2023 12:11
3:08:00	41.2	21.1	22.3						5/5/2023 12:11
3:10:00	41.2	39	22.3						5/5/2023 12:11
3:12:00	41.2	22.3							5/5/2023 12:11
3:14:00	41.2	22.3	25						5/5/2023 12:12
3:16:00	22.3	41.2	25						5/5/2023 12:12
3:18:00	41.2	25	22.3						5/5/2023 12:12
3:20:00	1.1	41.2	22.3						5/5/2023 12:12
3:22:00	41.2	22.3							5/5/2023 12:12
3:24:00	41.2	22.3	1.1						5/5/2023 12:13
3:26:00	1.1	41.2	22.3						5/5/2023 12:13
3:28:00	41.2	22.3							5/5/2023 12:13
3:30:00	22.3	41.2							5/5/2023 12:13
3:32:00	41.2	22.3							5/5/2023 12:13
3:34:00	41.2	22.3							5/5/2023 12:13
3:36:00	41.2	22.3							5/5/2023 12:14
3:38:00	41.2	22.3							5/5/2023 12:14
3:40:00	41.2	22.3							5/5/2023 12:14
3:42:00	22.3	41.2							5/5/2023 12:14
3:44:00	22.3	41.2	21.1						5/5/2023 12:14
3:46:00	41.2	22.3	21.1						5/5/2023 12:14
3:48:00	41.2	22.3	39						5/5/2023 12:15
3:50:00	41.2	22.3							5/5/2023 12:15
3:52:00	41.2	22.3							5/5/2023 12:15
3:54:00	41.2	22.3							5/5/2023 12:15
3:56:00	22.3	41.2							5/5/2023 12:15
3:58:00	22.3	41.2							5/5/2023 12:15
4:00:00	22.3	41.2							5/5/2023 12:16
4:02:00	41.2	22.3							5/5/2023 12:16
4:04:00	41.2	22.3							5/5/2023 12:16
4:06:00	41.2	1.1	22.3						5/5/2023 12:16
4:08:00	1.1	22.3	41.2						5/5/2023 12:16
4:10:00	41.2	22.3	1.1						5/5/2023 12:16
4:12:00	41.2	22.3							5/5/2023 12:17
4:14:00	41.2	1.1	22.3						5/5/2023 12:17
4:16:00	1.1	223	41.2						5/5/2023 12:17
4:18:00	41.2	22.3	25						5/5/2023 12:17
4:20:00	1.1	41.2	22.3						5/5/2023 12:17
4:22:00	1.1	41.2	22.3						5/5/2023 12:18
4:24:00	41.2	22.3							5/5/2023 12:18
4:26:00	41.2	22.3	4						5/5/2023 12:18
4:28:00	22.3	41.2							5/5/2023 12:18
4:30:00	41.2	22.3							5/5/2023 12:18
4:32:00	22.3	41.2							5/5/2023 12:18
4:34:00	41.2	22.3							5/5/2023 12:18
4:36:00	1.1	22.3	41.2						5/5/2023 12:19
4:38:00	1.1	22.3	41.2						5/5/2023 12:19
4:40:00	41.2	22.3							5/5/2023 12:19
4:42:00	22.3	41.2							5/5/2023 12:19
4:44:00	22.3	41.2							5/5/2023 12:19
4:46:00	22.3	41.2							5/5/2023 12:20
4:48:00	22.3	41.2							5/5/2023 12:20
4:50:00	22.3	41.2							5/5/2023 12:20
4:52:00	41.2	22.3							5/5/2023 12:20
4:54:00	41.2	22.3							5/5/2023 12:20
4:56:00	1.1	22.3	41.2						5/5/2023 12:20
4:58:00	1.1	41.2	22.3						5/5/2023 12:21
5:00:00	1.1	41.2	22.3	25					5/5/2023 12:21
5:02:00	1.1	22.3	41.2						5/5/2023 12:21
5:04:00	22.3	21.1	41.2						5/5/2023 12:21
5:06:00	22.3	41.2							5/5/2023 12:21
5:08:00	22.3	41.2							5/5/2023 12:21
5:10:00	22.3	41.2							5/5/2023 12:22
5:12:00	22.3	41.2	21.1						5/5/2023 12:22
5:14:00	22.3	41.2							5/5/2023 12:22
5:16:00	22.3	41.2							5/5/2023 14:29
5:18:00	22.3	41.2							5/5/2023 14:29
5:20:00	41.2	22.3							5/5/2023 14:30
5:22:00	41.2	22.3							5/5/2023 14:30
