#Version: 20120221									
#Site: KAWW004									
#Date: 2022-02-12									
#Listener: 425									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	21.1	39.1							4/25/2023 14:46
0:02:00	21.2	39.1							4/21/2023 11:59
0:04:00	21.2	39.1							4/21/2023 11:59
0:06:00	21.2	39.1							4/21/2023 11:59
0:08:00	21.2								4/21/2023 11:59
0:10:00	21.2	29							4/21/2023 11:59
0:12:00	21.2	39.1	29						4/21/2023 11:59
0:14:00	21.2	39.1							4/21/2023 11:59
0:16:00	21.1								4/21/2023 11:59
0:18:00	21								4/21/2023 11:59
0:20:00	21	39.1							4/21/2023 11:59
0:22:00	21.1								4/21/2023 11:59
0:24:00	21.2	39.1							4/21/2023 11:59
0:26:00	21	39.1							4/21/2023 11:59
0:28:00	21	39.1							4/21/2023 12:05
0:30:00	21	39.1							4/21/2023 12:05
0:32:00	21.1	39.1							4/21/2023 12:05
0:34:00	21.1	39.1							4/21/2023 12:05
0:36:00	21.1								4/21/2023 12:06
0:38:00	21.1	39.1							4/21/2023 12:06
0:40:00	21.1	39.1							4/21/2023 12:06
0:42:00	21.2	39.1							4/21/2023 12:06
0:44:00	21.1								4/21/2023 12:06
0:46:00	21.1								4/21/2023 12:06
0:48:00	21.1	39.1							4/21/2023 12:07
0:50:00	21.1								4/21/2023 12:07
0:52:00	21.1	39.1							4/21/2023 12:07
0:54:00	21.1	39.1							4/21/2023 12:07
0:56:00	21	39.1							4/21/2023 12:07
0:58:00	21.1	39.1							4/21/2023 12:07
1:00:00	21.2	39.1							4/21/2023 12:08
1:02:00	21.1	39.1							4/21/2023 12:08
1:04:00	21	39.1							4/21/2023 12:08
1:06:00	21.1								4/21/2023 12:08
1:08:00	21	39.1							4/21/2023 12:08
1:10:00	21.1								4/21/2023 12:08
1:12:00	21.1	39.1							4/21/2023 12:09
1:14:00	21.1								4/21/2023 12:09
1:16:00	21.1	39.1							4/21/2023 12:09
1:18:00	21.1	39.1							4/21/2023 12:09
1:20:00	21.1	39.1							4/21/2023 12:09
1:22:00	21	39.1							4/21/2023 12:09
1:24:00	21	39.1							4/21/2023 12:39
1:26:00	21	39.1							4/21/2023 12:11
1:28:00	21								4/21/2023 12:11
1:30:00	21.1								4/21/2023 12:11
1:32:00	21.1	39.1							4/21/2023 12:11
1:34:00	21.1								4/21/2023 12:11
1:36:00	21.1								4/21/2023 12:11
1:38:00	21.1	39.1							4/21/2023 12:11
1:40:00	21.1	39.1							4/21/2023 12:12
1:42:00	21.1	39.1							4/21/2023 12:12
1:44:00	21								4/21/2023 12:12
1:46:00	21.1	1.1	39.1						4/21/2023 12:12
1:48:00	21.1	39.1	1.1						4/21/2023 12:12
1:50:00	21.1	39.1							4/21/2023 12:12
1:52:00	21.1	39.1							4/21/2023 12:13
1:54:00	21.1	39.1							4/21/2023 12:13
1:56:00	21.1	39.1							4/21/2023 12:13
1:58:00	21.1	39.1							4/21/2023 12:13
2:00:00	21	1.2	39.1						4/21/2023 12:13
2:02:00	21	39.1							4/21/2023 12:14
2:04:00	21.1	39.1							4/21/2023 12:14
2:06:00	21	39.1							4/21/2023 12:14
2:08:00	21	39.1							4/21/2023 12:14
2:10:00	21.1	39.1							4/21/2023 12:14
2:12:00	21.1	39.1							4/21/2023 12:14
2:14:00	21	39.1							4/21/2023 12:15
2:16:00	21.1	39.1							4/21/2023 12:15
2:18:00	21.1	39.1							4/21/2023 12:15
2:20:00	21	39.1							4/21/2023 12:15
2:22:00	21.1	39.1							4/21/2023 12:15
2:24:00	21.1	39.1							4/21/2023 12:15
