#Version: 20120221									
#Site: KAWW004									
#Date: 2022-02-22									
#Listener: shibbard									
#Sample scheme: 10 seconds every 2 minutes									
#Time	Src	Src	Src	Src	Src	Src	Src	Notes	TagDate
0:00:00	19.1	39.1	21.2	22				anemometer spinning	5/2/2023 10:55
0:02:00	22	19.1	39.1	21.2					4/28/2023 9:55
0:04:00	22	39.1	21.1	29					4/28/2023 9:55
0:06:00	21.1	19.1	39.1					predator?	4/28/2023 9:56
0:08:00	19.1	21	39.1					yep definitely predator (seriously what could that be?)	4/28/2023 14:42
0:10:00	20	39.1	21						4/28/2023 14:42
0:12:00	20	21.1	41.2						4/28/2023 9:58
0:14:00	22	40	39.1	21.2	19.1				4/28/2023 9:58
0:16:00	39.1	29	21.1						4/28/2023 9:58
0:18:00	21.1	39.1							4/28/2023 9:58
0:20:00	21.1	40	39.1						4/28/2023 9:58
0:22:00	21.1	40	39.1	29					4/28/2023 9:59
0:24:00	1.1								4/28/2023 9:59
0:26:00	41.2	29							4/28/2023 9:59
0:28:00	41.2	29							4/28/2023 9:59
0:30:00	41.2	29							4/28/2023 9:59
0:32:00	41.2	29	39.1	21					4/28/2023 9:59
0:34:00	41.2	29							4/28/2023 10:00
0:36:00	41.2	29	39.1						4/28/2023 10:00
0:38:00	41.2	40	39.1	21.1	21			series of three loud clicks	4/28/2023 10:17
0:40:00	41.2								4/28/2023 10:18
0:42:00	41.2								4/28/2023 10:18
0:44:00	39.1	25							4/28/2023 10:18
0:46:00	41.2	21.1	19.1						4/28/2023 10:19
0:48:00	41.2	19.1	21						4/28/2023 10:29
0:50:00	41.2								4/28/2023 10:29
0:52:00	21.1	41.2	39.1						4/28/2023 10:29
0:54:00	39.1	21							4/28/2023 10:29
0:56:00	41.2	39.1	22						4/28/2023 10:29
0:58:00	41.2								4/28/2023 10:29
1:00:00	39.1	25							4/28/2023 10:29
1:02:00	29	40	39.1						4/28/2023 10:29
1:04:00	39.1	19.1							4/28/2023 10:29
1:06:00	39.1	21.1	40						4/28/2023 10:30
1:08:00	41.2								4/28/2023 10:32
1:10:00	40	39.1	21	20					4/28/2023 10:33
1:12:00	6	39.1	21	40					4/28/2023 10:33
1:14:00	6	40	29						4/28/2023 10:33
1:16:00	21.2	29	40	39.1					4/28/2023 10:33
1:18:00	41.2	6	21	39.1	29				4/28/2023 10:34
1:20:00	41.2	4	29						4/28/2023 10:34
1:22:00	41.2	25	4	29					4/28/2023 10:34
1:24:00	4	41.2	29	21	39.1				4/28/2023 10:34
1:26:00	39.1	41.2							4/28/2023 10:34
1:28:00	41.2	29	21						4/28/2023 10:35
1:30:00	41.2								4/28/2023 10:35
1:32:00	41.2								4/28/2023 10:35
1:34:00	41.2								4/28/2023 10:35
1:36:00	29	41.2	39.1						4/28/2023 10:35
1:38:00	1.1								4/28/2023 10:35
1:40:00	41.2	29							4/28/2023 10:36
1:42:00	41.2	29	21						4/28/2023 10:36
1:44:00	41.2	29	21						4/28/2023 10:36
1:46:00	41.2	29	1.1						4/28/2023 10:36
1:48:00	1.1	29							4/28/2023 10:36
1:50:00	41.2	29	1						4/28/2023 10:36
1:52:00	41.2								4/28/2023 10:37
1:54:00	41.2	1.1	29	22					4/28/2023 10:37
1:56:00	1.1	40	21						4/28/2023 10:37
1:58:00	1.1								4/28/2023 10:37
2:00:00	40	1	39.1						4/28/2023 10:38
2:02:00	40	29							4/28/2023 10:38
2:04:00	40	29	21.1						4/28/2023 10:38
2:06:00	40	29	21						4/28/2023 10:38
2:08:00	40	29	21						4/28/2023 10:38
2:10:00	40	29	21.1						4/28/2023 10:38
2:12:00	40	29							4/28/2023 10:38
2:14:00	39.1								4/28/2023 10:39
2:16:00	40	39.1	29						4/28/2023 10:39
2:18:00	40	39.1	29	21					4/28/2023 10:40
2:20:00	40	29							4/28/2023 10:40
2:22:00	40	29	25						4/28/2023 10:40
2:24:00	29	40	25					OWL	4/28/2023 10:40
2:26:00	29	40	21	25					4/28/2023 10:41
2:28:00	22	40	21	39.1					4/28/2023 10:41
2:30:00	40	29	21						4/28/2023 10:41
