### Metrics File V1.1
Metrics for HAVO3B1
Day: 07:00:00 to 18:59:59
Night: 19:00:00 to 06:59:59
Summer: May to Aug
Winter: Oct to Feb
Fall: Sep to Sep
Spring: Mar to Apr
Source of Interest: Aircraft
Truncated dBA (also referenced as dBT) Frequency Range: 20Hz to 1250Hz

Median dBA values by Hour, Winter (n = 206hrs)
Hr	Lmin	L099	L090	Lnat	L050	L010	L001	Lmax	Leq
00	20.0	21.3	24.2	--.-	29.2	34.3	39.9	46.1	31.5
01	22.2	23.3	25.5	--.-	31.6	37.2	40.9	44.5	33.9
02	22.7	23.5	25.8	--.-	30.0	35.8	40.9	44.5	32.8
03	19.1	19.9	22.4	--.-	27.6	36.0	40.6	45.0	32.0
04	21.9	22.6	25.7	--.-	31.2	36.4	40.0	43.4	33.6
05	22.0	23.3	25.5	--.-	31.9	37.5	41.8	45.0	34.0
06	19.2	19.5	20.3	--.-	26.8	34.7	40.2	44.2	31.4
07	20.4	21.3	22.8	--.-	26.7	37.7	60.7	67.1	46.3
08	21.8	22.7	25.5	--.-	29.8	35.6	54.0	60.7	39.5
09	23.3	24.9	27.0	--.-	31.4	37.2	49.5	57.4	34.7
10	20.2	22.2	26.1	--.-	31.3	38.7	57.5	62.6	42.9
11	20.2	21.1	23.9	--.-	29.6	35.2	55.1	61.4	40.9
12	20.1	20.7	22.5	--.-	27.7	36.4	57.5	64.7	42.7
13	19.9	21.0	23.0	--.-	28.1	34.6	41.0	49.8	31.2
14	19.4	20.5	22.9	--.-	27.1	32.6	38.7	44.6	29.9
15	18.7	19.3	20.5	--.-	26.0	34.8	43.2	59.3	36.3
16	18.2	18.6	19.4	--.-	22.9	30.0	36.4	42.8	27.7
17	18.2	18.4	19.3	--.-	24.7	34.7	41.0	46.1	33.1
18	19.5	22.4	24.7	--.-	28.3	32.9	37.1	44.4	29.9
19	22.4	23.6	25.3	--.-	28.6	34.1	40.9	44.5	31.3
20	22.3	23.1	24.4	--.-	28.3	32.6	38.3	45.1	30.1
21	19.3	20.1	23.2	--.-	26.1	31.1	38.5	45.1	29.3
22	18.5	18.7	19.9	--.-	24.2	30.7	39.9	43.8	28.8
23	18.0	18.5	20.8	--.-	27.4	34.0	41.5	45.0	31.5

Median Truncated dBA values by Hour, Winter (n = 206hrs)
Hr	Lmin	L099	L090	Lnat	L050	L010	L001	Lmax	Leq
00	16.6	19.1	23.0	--.-	28.6	33.8	39.5	44.7	30.8
01	20.3	21.8	24.4	--.-	31.1	36.5	40.0	44.2	33.2
02	20.9	22.2	24.8	--.-	29.4	35.2	40.2	43.1	32.1
03	14.4	16.2	20.7	--.-	26.9	35.5	39.8	43.9	31.3
04	19.6	20.8	24.7	--.-	30.6	35.7	39.8	43.2	32.9
05	19.9	22.1	24.6	--.-	31.2	36.9	41.0	43.2	33.4
06	14.7	15.4	17.2	--.-	25.9	34.1	39.3	42.9	30.7
07	17.5	18.9	21.3	--.-	26.0	37.6	60.6	67.0	46.0
08	19.6	21.1	24.5	--.-	29.2	35.0	53.5	60.1	39.0
09	22.2	23.9	26.2	--.-	30.8	37.0	49.4	57.1	34.4
10	17.3	20.5	25.3	--.-	30.7	38.2	57.2	61.9	42.7
11	17.1	18.9	22.7	--.-	28.9	34.5	54.9	61.2	40.7
12	17.1	18.1	20.7	--.-	26.7	35.4	57.1	64.2	42.2
13	16.2	18.5	21.0	--.-	27.3	33.1	39.0	49.6	29.6
14	15.1	17.6	21.4	--.-	26.3	31.6	37.3	42.2	29.0
15	13.2	14.9	17.8	--.-	24.4	33.3	42.1	57.8	35.5
16	12.1	13.4	15.4	--.-	21.4	28.8	35.1	42.0	25.8
17	12.6	13.1	15.4	--.-	23.6	30.7	39.9	44.4	32.0
18	14.6	20.7	23.6	--.-	27.6	32.3	36.4	42.3	29.3
19	20.8	22.2	24.3	--.-	28.0	33.6	40.2	43.5	30.7
20	18.7	19.2	23.4	--.-	27.6	32.2	38.0	43.6	29.5
21	13.9	15.2	20.5	--.-	24.8	30.5	38.0	44.9	28.5
22	12.6	13.4	16.7	--.-	23.0	30.0	39.2	43.3	27.9
23	11.0	12.8	18.2	--.-	26.6	33.5	40.4	44.1	30.6

SPL v. Frequency (Night), Winter (n = 112hrs)
Freq	L090	Lnat	L050	L010
12.5Hz	34.5	--.-	44.9	53.8
15.8Hz	31.5	--.-	41.3	50.1
20Hz	28.9	--.-	37.3	46.4
25Hz	27.2	--.-	33.7	42.2
31.5Hz	26.3	--.-	31.1	38.5
40Hz	25.7	--.-	29.9	35.0
50Hz	25.3	--.-	29.4	33.5
63Hz	25.0	--.-	29.2	32.8
80Hz	24.7	--.-	28.9	32.4
100Hz	24.2	--.-	28.3	32.1
125Hz	23.0	--.-	27.2	31.1
160Hz	21.5	--.-	26.2	30.2
200Hz	20.0	--.-	25.2	29.6
250Hz	19.1	--.-	24.6	29.3
315Hz	18.3	--.-	24.9	31.0
400Hz	18.2	--.-	23.8	30.5
500Hz	17.6	--.-	22.3	28.2
630Hz	15.7	--.-	21.0	28.0
800Hz	14.6	--.-	19.8	26.6
1000Hz	13.2	--.-	19.2	27.1
1250Hz	10.2	--.-	16.4	24.5
1600Hz	8.1	--.-	14.2	21.4
2000Hz	6.5	--.-	11.6	18.2
2500Hz	5.4	--.-	9.0	15.5
3150Hz	5.1	--.-	7.3	12.7
4000Hz	5.5	--.-	6.5	10.5
5000Hz	6.3	--.-	7.0	11.3
6300Hz	6.6	--.-	7.2	9.5
8000Hz	7.5	--.-	7.7	8.5
10000Hz	8.2	--.-	8.3	8.8
12500Hz	8.1	--.-	8.3	8.7
16000Hz	8.3	--.-	8.4	8.7
20000Hz	7.4	--.-	7.6	8.3

SPL v. Frequency (Day), Winter (n = 94hrs)
Freq	L090	Lnat	L050	L010
12.5Hz	34.5	--.-	44.7	55.3
15.8Hz	33.0	--.-	40.8	50.5
20Hz	30.9	--.-	38.3	47.3
25Hz	28.9	--.-	34.9	43.2
31.5Hz	27.6	--.-	32.4	39.4
40Hz	26.8	--.-	31.5	37.4
50Hz	26.7	--.-	30.9	36.6
63Hz	26.4	--.-	30.6	35.9
80Hz	25.6	--.-	29.8	35.9
100Hz	25.0	--.-	28.8	34.2
125Hz	23.3	--.-	27.4	32.5
160Hz	21.7	--.-	26.0	31.3
200Hz	19.7	--.-	24.8	29.9
250Hz	18.5	--.-	23.7	29.3
315Hz	15.9	--.-	22.9	29.1
400Hz	14.7	--.-	22.0	28.8
500Hz	14.0	--.-	20.6	28.3
630Hz	12.8	--.-	18.9	27.0
800Hz	12.1	--.-	17.3	25.3
1000Hz	10.5	--.-	16.1	24.3
1250Hz	8.4	--.-	13.7	22.0
1600Hz	6.5	--.-	11.9	20.1
2000Hz	5.3	--.-	10.3	18.0
2500Hz	4.8	--.-	8.4	15.6
3150Hz	4.8	--.-	7.1	13.7
4000Hz	5.5	--.-	7.0	12.2
5000Hz	6.2	--.-	7.4	12.4
6300Hz	6.6	--.-	7.5	10.9
8000Hz	7.5	--.-	7.9	9.7
10000Hz	8.2	--.-	8.5	10.0
12500Hz	8.1	--.-	8.4	9.8
16000Hz	8.3	--.-	8.5	9.9
20000Hz	7.3	--.-	7.7	9.5

Ambient, Winter (n = 206hrs)
Percentile	L090	Lnat	L050	L010	Leq
Day (dBT)	21.1	--.-	26.8	33.8	56.0
Day (dBA)	22.9	--.-	27.7	34.8	59.0
Night (dBT)	23.0	--.-	28.1	34.7	62.0
Night (dBA)	24.2	--.-	28.9	35.3	65.0

Percent Time Above (%), Winter (n = 206hrs)
Threshold	35dBA	45dBA	52dBA	60dBA
Day (dBT)	6.19	1.90	1.19	0.36
Day (dBA)	7.97	2.30	1.19	0.41
Night (dBT)	7.62	0.08	0.00	0.00
Night (dBA)	9.12	0.12	0.00	0.00

L90 Contour Data, Winter (n = 206hrs)
Hr	12.5Hz	15.8Hz	20Hz	25Hz	31.5Hz	40Hz	50Hz	63Hz	80Hz	100Hz	125Hz	160Hz	200Hz	250Hz	315Hz	400Hz	500Hz	630Hz	800Hz	1000Hz	1250Hz	1600Hz	2000Hz	2500Hz	3150Hz	4000Hz	5000Hz	6300Hz	8000Hz	10000Hz	12500Hz	16000Hz	20000Hz
00	37.5	34.0	31.0	28.7	27.3	26.5	26.2	26.0	25.6	25.1	24.2	22.8	21.3	20.3	19.2	18.2	17.4	15.3	14.1	12.8	10.1	08.2	06.4	05.3	05.1	05.5	06.3	06.6	07.5	08.2	08.1	08.3	07.4
