"SiteID","Source Description","00h","01h","02h","03h","04h","05h","06hr","07hr","08h","09h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h"
"KAWW004","Aircraft",0,0.7,1,0,0,2,0,0,0,0,0.3,0,0.3,0.3,0.7,1,0,1,0,0.7,0.3,0.3,0,0
"KAWW004","Jet",3,6.3,5.7,5,10,5,9,3.7,1.7,3.3,15.3,10.3,18,11.3,11,12.7,7,15,10.7,14.7,13,9.7,5.7,9.7
"KAWW004","Prop",0,0.7,0.7,0,0,6.3,6,2.3,1.3,4.7,2.3,3.7,3.3,1.3,0,0.7,5,2,2,1.3,1,4.3,0.3,0.3
"KAWW004","Vehicle",0,0.3,0,0,0,0,0,1.3,0.7,0,3.7,0.3,0.7,1.7,0,0.7,0,0,1.7,0.3,0.7,0,0,0.3
"KAWW004","Oversnow Vehicle",0,1,0.3,0,0.3,0,0.3,3.3,10,11.3,15.3,9.7,7.7,5,10,6.7,2.3,6.3,5,0,0,5.3,0,0
"KAWW004","Motor Sounds",0,1.3,0,0,3.3,0.3,0.3,5.7,2.3,7.7,3,2,2.7,1,4,4.7,4,3.3,2.7,1.7,1.3,0,0,0
"KAWW004","People",0,0,0,0,0,0,0,0,0.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
"KAWW004","Voices",0,0,0,0,0,0,0,0,1.7,0.3,2.7,1.7,3.3,3.7,2.3,0.3,0.3,0,0,0,0,0,0,0
"KAWW004","Walking",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0
"KAWW004","Skiing",0,0,0,0,0,0,0,0,1.3,1,0,0,1.7,0,1,0.7,0,0,0,0,0,0,0,0
"KAWW004","Dog",0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAWW004","Construction",0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAWW004","Wind-induced Non-natural",2.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0
"KAWW004","Non-natural Unknown",0.7,0.3,0,0,0,0,1.7,0.7,2,0.7,2,2,1.3,0.7,0.7,0,0.7,0,0,0,0,0,0,0
"KAWW004","Wind",25.7,26.7,26.3,25,23.3,24.3,25.7,22.7,14.3,20.3,19.3,29.3,32.7,25,23.7,17.3,19.7,20.3,32.7,18.7,19.7,14,11.7,14
"KAWW004","Wind, Light (not masking)",38.3,37,38.7,34.3,29.3,37.3,30,28.3,29.3,29.3,28,35.3,30.7,35.3,39,35.7,38.3,36.7,30.3,32.7,42,40,36,28.3
"KAWW004","Wind, Strong (masking)",5.7,1.3,0.3,2.3,5.3,3,1.7,0.3,1,2.7,3.7,5,3.3,10,7.7,10.7,10,7.7,6.3,14.7,8.7,11,19,18.7
"KAWW004","Water",8.7,3,5.7,9,11,11,8.3,3.3,0.3,4,12.7,9.7,7.3,12.3,9,7.7,14,13.3,7,14.3,19,17,16,12.3
"KAWW004","Rain, Fog Drip",1,1.3,7.7,0,0,0,0,0,0,0,5.3,11,19,19,10.7,10,0.3,0,3,0,0.3,0.7,1.7,3.3
"KAWW004","Snowfall",11.7,10.7,10,18,12.3,10,10,10,10,10,14,6.3,9,11,3.3,0.7,0,2,0.3,0,0,0.7,0,0
"KAWW004","Mammal",0.3,2.7,4,1,1.3,1.3,1.3,0,0,4.3,1.7,0.7,0.3,0.7,1,1,2,1,4,4.3,6.3,3.7,1.7,0.7
"KAWW004","Squirrel",0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.7,0.3,0,0,0.3,0.3,0.7,0.7,1,3.3
"KAWW004","Bird",2.7,5,8,7,10.3,6.7,27.3,58,60.3,55,49.7,45.7,38.7,38.7,26.7,32.7,18.7,9.7,4.7,7,9,3.7,2.3,0.7
"KAWW004","Animal",6.3,6,6.7,6.3,6,7,3.7,1.3,3,3.3,2.3,0,2.3,0.3,0,0.3,0,0,0.3,0,0,0,0.3,0
"KAWW004","Natural Other",9.7,6.7,6,8,8,11.3,11.7,17.3,19,21.3,25.7,21.7,18.7,20.7,22.3,15.7,11.3,11.7,6.3,8.3,9.7,9.3,15.7,18
"KAWW004","Wind-induced Natural",57,56,54.3,55.7,55.7,54.7,51.7,44.7,34.3,38.7,48.7,67.7,65.3,66.3,70,65.7,62.3,59.7,60,56.7,48,53.3,48,41.7
"KAWW004","Natural Unknown",1.3,2.3,7.7,4.7,0,6.3,1.7,0,0.7,1,1.3,0.7,0.7,0.3,0.7,0,0.3,1,0.3,0.7,0.7,2,1.7,1
"KAWW004","Artifact",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,0
"KAWW004","Wind distortion",0.7,0,0,0.3,0.3,0.3,0.7,0,0,0,0,2.7,1,1,1.3,3.3,1,2.7,1.7,2.3,4.3,1.7,4.3,4
"KAWW004","Static/interference- quiet",52,56,50,49.3,45,41,50.3,64,64,60.7,59.7,52.7,50.7,42,41,49.7,55.7,53,52,56,46.7,43,42.7,48.3
"KAWW004","Static/interference- loud",3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,7.3,2,1,1.7,1,3.3
"KAWW004","Precipitation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,4.7,6.3,5.3,1.3
"KAWW004","Unknown",0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0.3,0,0,0
